frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
1493928363.028207	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.028312	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.028413	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.028583	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.028585	209	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5			51002.0	16868.0									
1493928363.028693	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.028821	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.028936	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.02904	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.029177	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.029318	1450	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5			51002.0	16868.0									
1493928363.02932	98	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5													
1493928363.029436	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.02957	1450	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5			51002.0	16868.0									
1493928363.029572	98	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5													
1493928363.029827	1450	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5			51002.0	16868.0									
1493928363.029829	98	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5													
1493928363.029831	1450	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5			51002.0	16868.0									
1493928363.030098	98	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5													
1493928363.0301	1450	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5			51002.0	16868.0									
1493928363.030102	98	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5													
1493928363.030104	384	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5			51002.0	16868.0									
1493928363.057988	60	c8:00:84:2a:39:51	ac:9b:0a:fc:2d:8e	192.168.100.5	192.168.3.11	53195.0	443.0											
1493928363.058052	60	c8:00:84:2a:39:51	ac:9b:0a:fc:2d:8e	192.168.100.5	192.168.3.11	53195.0	443.0											
1493928363.058072	60	c8:00:84:2a:39:51	ac:9b:0a:fc:2d:8e	192.168.100.5	192.168.3.11	53195.0	443.0											
1493928363.05846	430	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.059244	60	c8:00:84:2a:39:51	ac:9b:0a:fc:2d:8e	192.168.100.5	192.168.3.11	53195.0	443.0											
1493928363.059323	60	c8:00:84:2a:39:51	ac:9b:0a:fc:2d:8e	192.168.100.5	192.168.3.11	53195.0	443.0											
1493928363.059343	60	c8:00:84:2a:39:51	ac:9b:0a:fc:2d:8e	192.168.100.5	192.168.3.11	53195.0	443.0											
1493928363.072319	209	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.073477	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.07355	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.073722	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.073778	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.073978	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.074014	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.074191	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.074193	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.074362	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.074364	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.074576	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.074578	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.074767	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.074769	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.074982	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.074984	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.075398	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.0754	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.075402	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.075404	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.075577	1450	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.075579	98	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5													
1493928363.075713	1292	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.13	192.168.100.5			51000.0	21192.0									
1493928363.094777	209	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5			51002.0	16868.0									
1493928363.095027	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.095183	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.095286	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.095402	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.09554	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.095785	1450	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5			51002.0	16868.0									
1493928363.095787	98	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.100.5													
1493928363.095789	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
1493928363.095936	1452	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	192.168.3.11	192.168.100.5	443.0	53195.0											
