"frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst"	frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
	1511941415.9618547	56814.0	b8:27:eb:e1:a9:f6	18:db:f2:01:09:33	0.0.0.0	192.168.3.11	59146.0	32961.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1492780813.3077245	52448.0	b8:27:eb:e1:a9:f6	01:00:5e:00:00:fb	0.0.0.0	192.168.3.11	44081.0	62059.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1527918016.230447	10825.0	b8:27:eb:e1:a9:f6	01:00:5e:00:00:fb	192.168.3.13	192.168.3.11	18535.0	17152.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1496296576.6490388	10537.0	b8:27:eb:e1:a9:f6	01:00:5e:7f:ff:fa	0.0.0.0	192.168.3.11	41287.0	32601.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1529381811.2803202	13017.0	10:4f:a8:7e:77:c5	01:00:5e:00:00:fb	192.168.3.1	192.168.3.11	59536.0	22491.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1520795164.8672934	1415.0	ac:9b:0a:33:a5:95	ac:9b:0a:33:a4:82	192.168.3.1	192.168.3.11	11012.0	51279.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1517759699.2556548	4555.0	b8:27:eb:e1:a9:f6	01:00:5e:00:00:09	0.0.0.0	192.168.3.11	65227.0	47618.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1534254298.2167478	46748.0	10:4f:a8:7e:77:c5	ac:9b:0a:33:a4:82	192.168.3.22	192.168.3.11	43762.0	5184.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1491218806.9749	61908.0	10:4f:a8:7e:77:c5	01:00:5e:7f:ff:fa	192.168.3.1	192.168.3.11	18677.0	63737.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1519097961.2972972	2855.0	10:4f:a8:7e:77:c5	ff:ff:ff:ff:ff:ff	192.168.3.13	192.168.3.11	5421.0	15500.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1500902393.5116122	32552.0	ac:9b:0a:33:a5:95	ac:9b:0a:33:a4:82	0.0.0.0	192.168.3.11	64598.0	7592.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1514534995.8382509	14056.0	ac:9b:0a:fc:2d:8e	33:33:00:01:00:03	0.0.0.0	192.168.3.11	32434.0	57183.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1499485086.456862	37902.0	48:7a:da:b2:0f:76	ff:ff:ff:ff:ff:ff	0.0.0.0	192.168.3.11	41441.0	20431.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1507082602.3977277	47343.0	18:db:f2:01:09:33	01:00:5e:7f:ff:fa	192.168.3.22	192.168.3.11	22585.0	40896.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1532380639.9843166	9516.0	10:4f:a8:7e:77:c5	c8:00:84:2a:39:51	192.168.3.12	192.168.3.11	48994.0	54343.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1526748625.001725	62056.0	48:7a:da:b2:0f:76	01:00:5e:00:00:09	192.168.3.12	192.168.3.11	29941.0	60035.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1501258053.9268956	1373.0	b8:27:eb:e1:a9:f6	01:00:5e:00:00:01	192.168.3.13	192.168.3.11	52634.0	15928.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1520291500.5465572	64777.0	10:4f:a8:7e:77:c5	01:00:5e:00:00:09	192.168.3.7	192.168.3.11	17784.0	65461.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1509126114.6150856	45549.0	48:7a:da:b2:0f:76	ff:ff:ff:ff:ff:ff	192.168.3.13	192.168.3.11	65129.0	23817.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1522520327.2041345	46378.0	ac:9b:0a:fc:2d:8e	c8:00:84:2a:39:51	0.0.0.0	192.168.3.11	3060.0	41701.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1540090093.4080343	1350.0	c8:00:84:2a:39:51	10:4f:a8:7e:77:c5	192.168.3.22	192.168.3.11	23596.0	56265.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1489724652.1870968	29525.0	ac:9b:0a:33:a5:95	ac:9b:0a:33:a4:82	0.0.0.0	192.168.3.11	29575.0	9205.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1495866355.2901607	43759.0	ac:9b:0a:fc:2d:8e	01:00:5e:7f:ff:fa	192.168.3.7	192.168.3.11	12899.0	49811.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1505226921.6078374	5815.0	48:7a:da:b2:0f:76	ac:9b:0a:fc:2d:8e	192.168.3.13	192.168.3.11	34928.0	50855.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1522458009.8308613	51617.0	18:db:f2:01:09:33	ac:9b:0a:33:a4:82	192.168.3.22	192.168.3.11	16887.0	5564.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1517408039.5690756	25106.0	10:4f:a8:7e:77:c5	33:33:00:01:00:03	192.168.3.22	192.168.3.11	7475.0	51150.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1499677568.7858405	42072.0	c8:00:84:2a:39:51	ff:ff:ff:ff:ff:ff	192.168.3.22	192.168.3.11	53553.0	5991.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1532508551.8311563	24664.0	ac:9b:0a:33:a4:82	01:00:5e:00:00:fb	0.0.0.0	192.168.3.11	47642.0	35817.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1537795562.9479282	59178.0	48:7a:da:b2:0f:76	01:00:5e:7f:ff:fa	0.0.0.0	192.168.3.11	54009.0	55371.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1501983165.661122	11710.0	10:4f:a8:7e:77:c5	ac:9b:0a:33:a4:82	0.0.0.0	192.168.3.11	38830.0	33404.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1522762610.4726818	14178.0	ac:9b:0a:33:a5:95	01:00:5e:00:00:fb	0.0.0.0	192.168.3.11	59141.0	58553.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1492979079.008833	22481.0	18:db:f2:01:09:33	33:33:00:00:00:16	192.168.3.22	192.168.3.11	26867.0	63704.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1498093469.0464826	1343.0	c8:00:84:2a:39:51	01:00:5e:00:00:fc	0.0.0.0	192.168.3.11	36339.0	46103.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1532193849.0229924	1332.0	ac:9b:0a:fc:2d:8e	01:00:5e:00:00:fb	192.168.3.13	192.168.3.11	53129.0	10553.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1511622137.7085676	47905.0	ac:9b:0a:fc:2d:8e	01:00:5e:00:00:fc	0.0.0.0	192.168.3.11	18078.0	10372.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1516040641.6546066	30596.0	c8:00:84:2a:39:51	ac:9b:0a:33:a4:82	0.0.0.0	192.168.3.11	42000.0	21319.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1534357800.9229877	39969.0	10:4f:a8:7e:77:c5	ff:ff:ff:ff:ff:ff	192.168.3.12	192.168.3.11	47769.0	2883.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1526628947.3555279	56769.0	18:db:f2:01:09:33	ac:9b:0a:fc:2d:8e	192.168.3.12	192.168.3.11	38413.0	16290.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1534043940.8066878	57230.0	48:7a:da:b2:0f:76	01:00:5e:00:00:09	0.0.0.0	192.168.3.11	31078.0	55937.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1540137332.4389062	61120.0	48:7a:da:b2:0f:76	01:00:5e:00:00:fc	0.0.0.0	192.168.3.11	16998.0	56767.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1494020576.9899917	1360.0	ac:9b:0a:fc:2d:8e	01:00:5e:00:00:01	0.0.0.0	192.168.3.11	2640.0	7614.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1534878363.4412832	64287.0	ac:9b:0a:fc:2d:8e	33:33:00:00:00:16	192.168.3.13	192.168.3.11	24821.0	17101.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1535071616.8497539	62249.0	c8:00:84:2a:39:51	01:00:5e:00:00:09	192.168.3.1	192.168.3.11	58402.0	49644.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1531723723.684281	41464.0	c8:00:84:2a:39:51	ff:ff:ff:ff:ff:ff	192.168.3.22	192.168.3.11	35503.0	62211.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1529145432.0197775	61419.0	10:4f:a8:7e:77:c5	01:00:5e:7f:ff:fa	192.168.3.22	192.168.3.11	48700.0	28148.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1515129265.181761	38747.0	b8:27:eb:e1:a9:f6	33:33:00:01:00:03	192.168.3.12	192.168.3.11	47762.0	5626.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1526359526.4495802	42777.0	18:db:f2:01:09:33	ac:9b:0a:33:a4:82	0.0.0.0	192.168.3.11	59036.0	40252.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1514098926.9195802	28472.0	18:db:f2:01:09:33	ac:9b:0a:33:a4:82	192.168.3.1	192.168.3.11	48697.0	10005.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1526957189.4917767	55961.0	48:7a:da:b2:0f:76	ac:9b:0a:fc:2d:8e	192.168.3.22	192.168.3.11	55411.0	64226.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1488220009.837951	26418.0	c8:00:84:2a:39:51	33:33:00:00:00:16	0.0.0.0	192.168.3.11	2942.0	33995.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1509070643.4908938	1350.0	ac:9b:0a:fc:2d:8e	01:00:5e:00:00:09	192.168.3.12	192.168.3.11	63526.0	2553.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1492572239.1705136	61589.0	b8:27:eb:e1:a9:f6	01:00:5e:00:00:fc	0.0.0.0	192.168.3.11	49684.0	62372.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1521394880.068867	4478.0	ac:9b:0a:33:a5:95	ff:ff:ff:ff:ff:ff	192.168.3.13	192.168.3.11	29627.0	49127.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1517915311.1511738	43578.0	b8:27:eb:e1:a9:f6	33:33:00:01:00:03	192.168.3.13	192.168.3.11	55696.0	45100.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1527413455.679038	8252.0	ac:9b:0a:33:a5:95	01:00:5e:7f:ff:fa	0.0.0.0	192.168.3.11	14947.0	12155.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1513584158.8450396	1435.0	ac:9b:0a:fc:2d:8e	18:db:f2:01:09:33	0.0.0.0	192.168.3.11	34595.0	63802.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1494123391.6610713	1347.0	b8:27:eb:e1:a9:f6	01:00:5e:00:00:fb	0.0.0.0	192.168.3.11	58022.0	55251.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1499636081.3849869	17148.0	ac:9b:0a:33:a5:95	c8:00:84:2a:39:51	192.168.3.12	192.168.3.11	44851.0	21729.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1530389298.8664045	36935.0	c8:00:84:2a:39:51	ac:9b:0a:33:a4:82	192.168.3.13	192.168.3.11	27783.0	11234.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1490920177.72018	12876.0	ac:9b:0a:33:a5:95	c8:00:84:2a:39:51	192.168.3.22	192.168.3.11	38122.0	5208.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1509251432.6350472	61804.0	ac:9b:0a:33:a4:82	18:db:f2:01:09:33	192.168.3.12	192.168.3.11	18180.0	26688.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1526612945.4755933	54421.0	c8:00:84:2a:39:51	01:00:5e:00:00:09	192.168.3.12	192.168.3.11	35186.0	41343.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1503026436.571323	39870.0	ac:9b:0a:33:a5:95	01:00:5e:00:00:fb	192.168.3.13	192.168.3.11	44547.0	41178.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1511310517.2331471	15848.0	48:7a:da:b2:0f:76	01:00:5e:7f:ff:fa	0.0.0.0	192.168.3.11	39807.0	30188.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1513800104.3766057	3826.0	48:7a:da:b2:0f:76	01:00:5e:00:00:09	192.168.3.12	192.168.3.11	53185.0	63396.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1510270450.2103717	6231.0	10:4f:a8:7e:77:c5	33:33:00:01:00:03	192.168.3.12	192.168.3.11	20347.0	13072.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1506312485.529191	46241.0	ac:9b:0a:33:a5:95	ac:9b:0a:33:a4:82	0.0.0.0	192.168.3.11	60555.0	12689.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
